date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Narsingdi,Sunamganj,Cox's Bazar,Jaipurhat,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-17,0,0,4,0,0,0,0,0,1,0,2,0,114,0,2,0,0,4,0,1,37,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,1,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0
2020-05-18,1,0,4,0,1,4,0,0,1,0,1,1,139,1,2,3,0,0,0,2,32,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
2020-05-19,0,0,8,0,3,1,0,1,0,0,0,1,100,0,0,1,0,4,1,0,17,1,0,0,0,0,1,0,0,0,5,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-20,0,0,9,1,0,2,0,0,0,0,0,0,126,0,0,0,0,3,0,0,32,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0
2020-05-21,1,0,5,0,0,3,1,0,0,0,3,0,263,0,2,0,0,10,0,2,64,2,1,0,5,2,1,0,0,1,0,0,3,0,1,1,0,1,0,1,2,0,1,0,1,0,0,0,0,1,2,1,0,1,0,0,0,0,0,5,0,0,2,0,1
2020-05-22,0,0,7,0,0,1,2,0,0,1,0,1,178,0,0,3,0,11,0,0,29,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,5,0,1,1,0,0,0,0,0,2,1,0,1,0,0
2020-05-23,0,0,5,0,1,0,0,0,0,0,1,0,142,0,1,1,0,7,0,0,36,1,0,0,0,3,1,1,0,1,1,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
2020-05-24,0,0,4,0,1,0,0,2,1,0,1,0,126,1,0,1,0,5,0,1,23,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-25,2,0,2,0,0,0,0,0,0,0,1,0,110,0,1,0,0,2,0,0,30,0,1,0,0,1,1,1,2,0,0,1,2,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,5,3,0,0,0,0
2020-05-26,1,0,5,0,0,0,0,1,0,0,0,1,152,0,0,1,1,2,0,0,47,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,3,0,0,2,0,0
2020-05-27,0,0,7,1,1,1,0,0,2,0,0,0,169,0,0,2,0,3,1,0,31,0,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,2,0,1,2,2,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,2,1,0,1,0,0
2020-05-28,0,1,9,0,0,0,0,0,0,1,1,0,182,0,0,1,0,3,0,0,42,0,1,0,1,0,0,1,0,0,1,0,1,0,0,8,1,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
2020-05-29,3,0,3,0,0,1,0,3,0,0,0,0,180,0,4,2,0,4,0,0,42,0,0,0,0,0,0,0,1,0,1,1,5,0,0,1,0,2,2,0,1,8,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0
2020-05-30,0,0,5,1,0,0,0,0,1,6,0,0,208,0,3,0,0,6,1,1,52,1,0,0,2,0,0,0,0,0,0,0,3,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,2,2,0,2,0,0
2020-05-31,0,0,6,1,0,2,0,2,0,0,0,2,203,0,0,0,0,2,0,1,46,5,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-06-01,3,0,6,0,0,1,0,3,0,0,0,1,230,0,0,3,0,4,0,1,48,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0
2020-06-02,0,1,15,0,0,2,0,0,0,0,0,0,231,0,0,0,0,5,0,2,53,0,0,2,1,2,0,2,2,0,0,0,1,0,0,1,1,4,0,0,1,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,3,0,3,0,0
2020-06-03,1,1,10,0,0,1,1,0,0,0,0,0,226,0,0,0,0,7,0,0,37,0,2,0,0,2,0,0,0,1,1,0,3,1,1,0,0,2,0,0,3,1,0,0,0,1,0,2,1,0,0,1,1,1,0,0,0,0,3,6,1,0,1,0,3
2020-06-04,8,4,44,0,2,6,1,12,2,2,3,0,674,0,6,7,3,16,2,1,173,6,0,1,5,6,6,2,6,1,5,1,17,2,2,2,2,13,2,8,0,5,2,0,3,0,5,1,3,2,1,3,3,0,0,6,1,1,4,15,4,5,9,0,0
2020-06-05,14,7,125,0,5,20,1,22,2,2,4,9,1601,3,24,26,5,54,2,11,396,10,5,12,9,18,19,6,20,1,11,4,49,2,2,10,11,37,4,15,15,11,6,6,3,4,6,2,4,7,18,12,7,10,1,4,2,1,4,23,9,9,14,0,5
2020-06-06,14,4,91,4,4,13,2,14,3,0,3,4,1187,0,19,21,3,26,4,1,248,4,4,6,9,16,11,4,14,1,6,3,40,0,5,2,9,12,1,6,8,7,2,5,3,4,3,7,2,12,12,7,0,13,1,1,1,4,8,26,5,12,15,2,1
2020-06-07,10,4,70,3,7,17,3,24,5,1,2,7,1201,0,16,26,5,36,4,7,263,7,6,3,9,11,7,6,8,1,12,3,20,1,1,6,10,17,3,13,9,8,4,2,5,3,3,2,2,2,13,13,7,7,2,4,5,0,5,25,10,2,20,6,6
2020-06-08,13,1,51,0,1,11,1,8,4,3,7,4,886,1,19,16,4,26,4,6,195,1,2,4,4,9,1,1,14,2,7,2,23,1,0,2,3,16,1,6,4,8,4,0,4,4,4,4,2,1,6,4,4,6,1,2,3,1,14,36,4,3,4,2,1
