date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Naogaon,Bogra,Cox's Bazar,Narsingdi,Rangpur,Jaipurhat,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-15,0,1,2,0,0,0,0,1,0,1,0,0,127,0,0,0,0,4,0,2,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,0
2020-05-16,2,0,6,0,0,0,0,2,0,0,0,0,177,1,2,2,0,3,1,0,51,0,0,2,0,2,0,2,1,0,0,0,2,0,0,1,1,0,0,2,0,3,0,0,1,0,0,0,0,1,1,4,0,1,0,0,0,0,0,4,0,2,0,0,0
2020-05-17,0,0,14,0,0,0,0,0,1,2,1,0,107,0,2,1,0,5,0,1,33,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,2,1,0,1,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,3,0,0,0,4,1,1,0,0,0
2020-05-18,0,0,4,0,0,1,0,1,1,0,0,1,144,0,0,0,0,3,0,0,51,0,0,1,1,2,1,0,1,0,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2
2020-05-19,0,0,5,0,1,0,0,2,0,0,0,0,104,0,0,0,0,5,0,1,44,0,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,4,0,0,1,0,0
2020-05-20,0,1,8,1,0,1,0,0,0,0,0,1,144,0,0,1,0,3,0,0,44,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,4,0,0,1,0,0
2020-05-21,0,0,13,0,1,0,0,0,0,0,2,0,290,0,2,1,0,14,0,2,68,0,2,0,1,3,1,0,2,0,0,1,8,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,1,3,0,1
2020-05-22,1,0,6,1,0,2,0,1,0,1,0,0,189,0,3,1,0,4,0,0,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,2,0,5,0,0,2,0,0,0,0,1,5,1,0,1,1,0
2020-05-23,0,0,7,0,1,0,0,1,0,0,3,1,174,0,0,0,0,2,0,1,63,0,0,0,0,0,0,3,1,0,1,0,2,0,1,0,2,4,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,3,1,0,0,0,0,0
2020-05-24,0,0,2,0,0,0,0,1,0,0,1,1,140,1,0,1,0,4,0,1,29,0,0,0,0,0,1,2,0,0,1,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
2020-05-25,1,0,10,0,0,0,0,0,0,0,1,0,186,0,1,0,0,4,0,2,45,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,4,3,0,0,1,0
2020-05-26,1,0,6,0,0,0,0,1,0,0,0,1,280,0,0,3,0,11,0,0,80,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,4,3,0,2,0,0
2020-05-27,1,2,9,0,0,0,0,0,0,0,0,0,259,0,2,2,0,5,0,1,51,0,0,0,3,1,0,1,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,5,0,1,3,0,0
2020-05-28,0,1,11,0,0,1,0,0,0,0,1,1,274,0,3,0,0,9,0,0,76,0,1,0,1,0,0,2,1,0,0,0,5,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1
2020-05-29,0,0,10,0,0,1,0,2,1,0,0,0,337,0,5,1,0,3,0,0,60,0,0,1,3,1,0,0,1,0,0,0,2,0,0,0,1,2,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0
2020-05-30,0,0,10,0,0,0,0,3,0,0,0,0,339,0,0,0,0,6,0,1,87,1,1,0,3,0,1,0,0,0,2,1,0,0,0,2,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5,0,0,2,0,2
2020-05-31,0,0,3,0,0,4,0,2,0,0,0,2,335,0,0,0,0,6,0,0,71,0,0,1,2,2,1,2,1,0,0,0,1,0,0,1,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0
2020-06-01,1,0,4,0,0,0,0,1,0,0,1,1,304,0,0,1,0,15,0,0,75,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,5,0,4,1,2,0,1,1,3,0,1,0,0,3,0,0,0,0,0,0,0,2,6,0,1,1,0,4
