date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Rangpur,Sunamganj,Naogaon,Narsingdi,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Pabna Police line,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-17,0,0,5,1,0,0,0,0,0,0,0,0,71,0,0,1,0,1,0,0,49,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,7,0,0,0,0,0,0,0,1,0,92,0,5,0,0,1,0,0,28,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0
2020-05-19,0,0,10,0,1,3,0,0,0,1,0,0,57,0,0,0,0,2,0,0,24,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,93,0,2,0,0,1,0,0,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0
2020-05-21,0,0,5,0,0,0,0,0,0,0,0,1,139,0,0,0,0,5,0,0,52,0,0,0,0,0,1,0,0,1,0,1,3,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-05-22,0,0,8,0,0,0,0,0,0,0,0,1,106,0,1,0,0,0,0,1,35,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0
2020-05-23,0,0,9,0,0,0,0,0,0,0,0,0,94,0,0,0,0,1,0,1,33,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-24,0,0,3,0,1,0,0,0,0,0,1,0,78,1,0,0,0,0,3,1,22,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-25,0,0,5,0,0,0,0,0,0,0,0,1,125,0,1,1,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020-05-26,0,1,8,0,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,54,0,0,0,0,0,4,0,0,1,0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,0
2020-05-27,0,0,6,0,0,2,0,0,1,0,0,0,151,0,0,1,0,1,0,0,40,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,2,0,0,1,0,0
2020-05-28,0,0,6,0,0,0,0,0,0,0,0,0,121,0,2,7,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0
2020-05-29,0,0,3,0,0,0,0,0,0,0,0,0,167,0,0,0,0,3,0,0,49,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-30,1,0,6,0,0,0,0,0,0,0,0,1,145,0,0,0,0,5,0,2,53,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0
2020-05-31,0,0,5,1,0,0,0,0,0,0,0,2,141,0,0,0,0,5,0,0,44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-06-01,1,0,2,0,0,0,0,2,0,0,0,0,172,0,0,0,0,5,0,0,40,0,0,0,0,2,0,3,0,0,0,0,4,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2020-06-02,0,0,4,1,1,0,0,1,0,0,0,0,136,0,1,0,0,6,1,0,34,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1
2020-06-03,1,0,4,0,0,0,0,0,0,0,0,0,112,0,1,0,0,6,0,0,31,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2
2020-06-04,2,3,28,0,0,5,0,2,1,0,1,1,356,1,6,0,1,7,1,0,120,0,0,1,0,5,2,4,0,1,3,0,13,1,0,5,8,6,0,4,3,0,1,0,1,0,0,1,0,1,2,1,0,2,0,0,0,1,0,2,3,1,2,1,0,1
