date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Sunamganj,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Netrokona,Jhenaidah,Bagerhat,Tangail,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-09,4,1,24,0,1,10,1,8,1,0,1,3,591,0,4,3,1,14,1,3,134,3,0,2,0,4,2,5,1,3,4,1,19,1,0,2,5,1,4,10,2,3,3,0,2,1,3,1,0,0,2,3,1,11,0,0,0,2,0,18,1,1,6,2,0
2020-06-10,5,2,26,0,2,1,1,11,0,0,1,0,439,0,6,1,1,9,5,2,96,3,0,0,1,2,0,2,4,2,3,3,5,0,0,1,5,7,1,4,0,7,0,1,1,0,0,1,2,5,2,3,3,4,1,1,0,1,0,18,2,1,8,3,2
2020-06-11,1,1,20,4,5,1,0,5,1,0,0,1,395,0,0,7,0,9,1,0,94,1,3,0,1,3,0,0,1,2,1,0,9,0,1,2,3,4,0,5,2,2,0,0,0,3,2,0,0,2,0,7,1,0,2,1,0,0,1,7,2,3,7,2,0
2020-06-12,3,2,17,0,0,3,0,5,0,0,4,0,368,0,1,7,0,8,0,0,96,4,0,1,2,1,1,4,1,1,0,0,4,0,0,3,2,8,1,5,2,3,1,1,1,1,3,1,0,0,1,3,1,2,1,1,0,2,0,7,3,2,5,0,0
2020-06-13,4,0,11,0,3,2,0,1,1,0,1,1,356,0,3,3,0,5,1,5,90,0,0,2,1,2,1,0,0,0,3,0,3,0,0,0,6,5,0,4,6,1,0,0,0,1,1,1,3,3,1,1,1,0,1,2,0,2,1,5,3,2,8,0,0
2020-06-14,5,1,21,1,1,2,1,0,0,0,0,5,395,0,3,1,0,7,1,0,77,0,0,0,1,4,3,2,0,0,1,1,16,0,0,3,3,2,1,6,0,1,1,1,1,1,4,2,2,1,7,3,0,3,0,1,0,0,3,11,4,1,7,1,0
2020-06-15,4,3,24,1,1,9,0,1,0,0,0,0,388,0,2,6,0,16,2,2,87,1,0,0,0,2,0,2,0,3,2,1,19,0,1,0,1,3,0,4,3,2,0,0,0,3,8,1,0,0,1,2,2,5,0,2,0,0,0,1,3,2,1,1,0
2020-06-16,3,0,32,1,0,1,1,12,0,0,1,1,384,0,4,3,2,7,1,1,94,1,1,0,0,8,0,2,1,4,3,1,1,0,1,0,2,4,0,5,0,1,1,0,1,0,2,0,0,0,2,3,0,7,0,0,0,2,4,3,4,1,7,0,6
2020-06-17,4,0,7,0,7,1,0,2,2,1,0,0,353,0,4,2,0,4,0,1,55,3,0,0,0,1,0,1,3,1,2,1,5,1,0,1,2,5,0,2,0,3,0,1,0,1,8,0,0,1,2,5,2,0,0,1,0,0,6,2,1,0,1,3,0
2020-06-18,6,1,49,1,5,3,2,9,6,8,2,8,1061,4,0,10,3,35,3,3,267,8,4,3,0,23,1,14,5,6,5,4,25,2,4,5,9,18,0,18,3,6,2,2,2,1,4,3,4,0,11,13,11,6,3,5,5,4,5,11,13,1,18,0,2
2020-06-19,1,0,21,2,4,3,0,7,2,1,3,1,561,0,9,3,3,9,2,1,149,5,1,3,2,8,1,2,2,2,1,1,8,3,0,1,4,9,0,3,0,3,1,0,0,3,0,1,0,1,4,5,3,4,1,0,1,0,2,12,5,0,6,0,1
2020-06-20,0,1,11,0,5,3,0,9,5,0,1,2,416,0,7,2,0,5,0,2,113,1,2,4,0,5,1,0,0,2,3,1,3,0,0,1,0,5,0,2,4,6,0,2,1,1,2,0,1,0,7,7,2,0,0,1,0,1,1,12,2,0,7,1,1
2020-06-21,1,2,7,0,1,3,1,2,0,1,1,1,356,0,5,5,0,9,1,0,77,0,0,0,2,3,4,1,2,3,2,0,3,1,1,3,3,2,0,2,0,1,1,0,0,4,2,1,0,1,2,0,1,2,0,0,0,0,1,8,8,0,4,1,1
2020-06-22,2,1,12,0,6,2,0,7,2,1,0,1,297,0,3,5,0,7,0,3,77,4,2,5,6,4,1,0,1,2,2,0,9,2,0,1,1,5,0,4,0,3,0,0,0,4,2,1,0,1,3,0,2,3,0,5,0,0,0,3,3,0,0,1,1
2020-06-23,6,2,5,0,1,3,0,2,3,0,1,2,282,0,2,0,0,2,1,3,58,0,0,2,0,9,1,0,2,2,0,0,3,1,3,1,0,4,0,2,1,2,0,0,0,2,2,0,0,3,2,3,0,4,2,0,1,1,4,9,4,1,7,1,0
2020-06-24,3,1,9,0,1,0,0,3,0,0,0,1,293,0,0,0,0,3,0,1,90,2,0,1,0,2,2,1,1,7,5,1,4,0,1,4,3,6,0,3,1,3,0,1,0,0,2,1,0,2,1,1,2,1,2,2,1,1,0,7,3,2,0,1,1
2020-06-25,1,3,6,0,1,3,0,4,0,0,1,2,288,0,5,2,1,8,0,0,54,1,0,1,1,2,3,2,1,0,1,0,5,0,0,6,2,2,0,10,1,2,0,0,0,1,0,0,0,1,3,0,1,4,0,0,1,0,0,4,4,2,0,0,1
2020-06-26,0,6,11,0,1,1,0,1,1,0,0,0,263,0,1,11,0,3,0,1,37,1,2,1,1,1,0,1,2,0,4,1,3,0,0,2,3,1,1,8,0,6,0,1,0,0,4,2,0,0,6,2,0,0,0,0,2,0,5,3,1,1,1,0,0
2020-06-27,1,3,15,0,1,1,1,4,2,1,0,1,255,0,2,1,0,9,2,1,36,1,0,0,0,2,0,1,1,0,0,0,7,0,1,9,1,3,0,1,0,2,0,2,0,0,2,0,0,0,3,2,0,1,0,0,0,0,1,3,4,3,1,0,0
2020-06-28,3,2,5,0,3,0,0,2,0,0,0,1,212,1,3,3,0,2,0,0,54,0,0,0,0,2,0,0,1,1,2,3,6,0,0,0,1,2,1,2,0,4,0,0,0,3,0,0,0,2,7,3,1,1,0,0,1,0,1,3,6,3,2,0,0
2020-06-29,4,0,8,0,1,1,0,4,1,0,0,0,208,0,0,5,0,1,0,0,51,0,0,0,0,0,0,0,0,2,1,0,7,4,0,1,0,0,0,3,1,2,0,0,0,2,7,0,0,0,0,1,1,2,0,1,0,0,1,1,0,1,1,0,3
2020-06-30,3,0,9,1,0,2,1,1,0,0,0,0,202,0,1,1,0,3,0,0,44,0,0,0,1,2,0,0,2,1,1,1,2,0,1,2,0,1,0,2,0,0,1,1,0,0,0,1,0,0,5,0,0,2,4,0,0,0,1,1,4,1,3,0,0
