date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Sunamganj,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Pabna,Sherpur,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Shariatpur,Kurigram,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-06-16,0,0,5,0,3,4,1,5,1,0,2,0,275,0,1,4,2,6,2,1,48,0,0,0,0,5,1,0,2,4,1,0,4,1,2,0,0,3,1,2,0,1,0,0,0,2,1,1,0,1,1,1,0,5,0,0,1,0,2,2,1,0,4,0,10
2020-06-17,1,0,12,0,2,1,0,3,0,1,0,1,214,0,2,0,0,10,0,2,34,0,0,1,1,2,1,0,1,1,0,0,4,0,0,6,1,7,2,0,2,1,0,0,1,0,0,2,1,3,0,1,1,3,1,0,0,0,0,3,1,1,4,0,3
2020-06-18,0,2,33,0,4,2,0,7,2,1,1,2,586,3,3,4,2,12,3,2,106,1,4,4,1,3,3,3,3,2,5,2,8,3,3,2,3,11,1,5,2,2,1,0,2,4,6,3,1,7,0,2,1,3,1,0,1,1,4,6,6,2,6,0,2
2020-06-19,3,1,13,1,3,5,0,1,0,1,1,0,342,0,4,1,0,7,2,1,58,2,0,1,1,7,1,1,2,2,0,1,9,1,1,1,1,1,0,2,0,0,1,0,0,0,4,1,0,1,2,2,0,6,1,1,0,3,2,7,8,2,12,1,1
2020-06-20,1,4,5,6,0,2,0,1,3,1,3,0,258,1,2,0,1,10,0,0,52,1,2,1,0,8,2,0,3,2,1,3,7,1,0,1,3,1,1,4,0,4,0,1,0,1,2,0,0,1,0,5,1,4,0,0,1,0,1,4,2,0,1,0,0
2020-06-21,0,2,4,1,2,1,0,1,0,0,1,0,245,0,4,6,0,4,0,0,38,2,0,0,1,3,1,1,0,0,0,0,0,0,0,2,2,0,0,3,0,3,0,0,0,2,1,0,1,0,0,0,3,4,0,0,0,0,0,3,1,0,2,1,0
2020-06-22,4,0,10,1,4,2,0,5,0,0,0,0,236,1,5,3,0,2,0,0,42,3,4,0,0,3,0,0,0,4,0,0,3,0,0,0,0,4,1,2,2,6,0,1,0,1,1,0,0,4,0,3,3,2,0,1,0,0,0,1,0,0,0,1,0
2020-06-23,4,1,5,1,1,0,0,2,1,1,1,1,221,1,3,4,0,4,0,1,43,0,1,1,0,4,0,0,2,0,2,0,2,0,0,2,2,1,0,2,1,2,0,0,0,1,0,0,2,4,3,8,2,5,0,1,0,0,8,1,0,2,4,0,0
2020-06-24,2,0,11,1,1,1,0,0,1,1,0,0,207,0,1,1,1,3,0,0,33,0,0,0,0,2,1,0,1,0,0,1,4,0,0,1,2,2,0,4,1,3,0,0,0,2,2,0,0,3,2,0,1,0,2,0,2,0,1,0,1,1,1,0,0
2020-06-25,2,3,7,1,0,2,0,2,0,0,2,2,176,0,2,1,0,2,0,1,26,1,0,0,1,1,2,3,0,1,4,0,8,0,0,0,0,2,0,4,0,3,2,2,1,1,0,0,0,0,1,2,1,1,0,0,0,0,2,1,0,0,2,0,1
