date,Brahmanbaria,Satkhira,Chittagong,Magura,Kushtia,Chandpur,Panchagarh,Mymensingh,Nilphamari,Narail,Gopalganj,Manikganj,Unknown,Meherpur,Feni,Noakhali,Barguna,Gazipur,Pirojpur,Jamalpur,Dhaka,Natore,Chuadanga,Madaripur,Jaipurhat,Bogra,Sunamganj,Cox's Bazar,Naogaon,Narsingdi,Rangpur,Bhola,Comilla,Khagrachhari,Rajbari,Dinajpur,Faridpur,Sylhet,Chapainawabganj,Rajshahi,Munshiganj,Sherpur,Pabna,Rangamati,Thakurgaon,Habiganj,Sirajganj,Jhenaidah,Netrokona,Tangail,Bagerhat,Barisal,Gaibandha,Kishoreganj,Bandarban,Kurigram,Shariatpur,Lalmonirhat,Lakshmipur,Narayanganj,Jessore,Maulvibazar,Khulna,Jhalokati,Patuakhali
2020-05-04,0,0,5,0,0,1,0,0,0,0,0,0,73,0,0,2,0,0,0,0,17,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-05-05,1,0,4,0,0,0,0,1,0,0,0,0,68,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
2020-05-06,2,0,0,0,0,1,0,1,0,0,0,0,61,0,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
2020-05-07,0,0,4,0,0,0,0,0,1,0,0,0,85,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2020-05-08,0,0,0,0,0,2,0,3,0,0,0,0,59,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-09,0,0,4,0,0,0,0,0,0,0,0,0,67,0,1,0,0,2,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0
2020-05-10,0,0,3,0,0,0,0,0,0,0,0,0,39,0,0,1,0,1,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2020-05-11,0,0,2,0,0,2,0,1,0,0,0,0,51,0,1,0,0,1,0,0,20,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0
2020-05-12,0,0,2,0,2,1,0,0,0,0,0,0,91,0,0,1,0,0,1,0,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
2020-05-13,0,0,7,0,0,0,0,0,0,0,0,0,54,0,0,1,0,3,0,1,26,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0
2020-05-14,1,0,1,0,0,0,0,0,0,0,0,0,105,0,0,0,0,2,0,0,26,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-15,0,0,6,0,1,0,0,2,0,0,0,0,84,0,0,0,0,4,0,0,26,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2020-05-16,1,0,7,0,0,0,0,0,0,0,0,0,137,0,1,0,0,0,0,1,37,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-17,0,0,5,0,0,1,0,0,0,0,0,0,99,0,0,0,0,5,0,0,51,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
2020-05-18,0,0,3,0,0,1,0,0,1,0,0,0,106,0,0,1,0,2,0,0,38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
2020-05-19,1,0,12,0,2,0,0,0,0,0,0,0,83,0,0,0,0,1,0,0,31,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-05-20,1,0,5,0,0,0,0,0,0,0,0,0,105,0,0,1,0,3,1,0,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0
2020-05-21,0,0,5,0,0,3,0,0,0,0,0,1,168,0,0,1,0,4,0,0,44,0,0,0,0,0,0,0,1,0,1,0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0
2020-05-22,0,0,8,0,0,0,0,1,0,0,1,2,135,0,1,0,0,4,0,0,39,0,0,0,0,0,1,0,1,3,0,0,2,0,0,1,1,3,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,5,1,0,0,1,0
2020-05-23,0,0,5,0,0,1,0,1,0,0,1,0,139,0,0,2,0,5,1,1,32,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,4,4,1,0,0,0,0
2020-05-24,0,0,2,0,0,0,0,0,1,0,0,0,145,1,0,0,1,4,0,0,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
2020-05-25,1,0,16,0,0,0,0,0,0,0,0,0,148,0,0,1,0,2,0,0,52,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,4,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0
2020-05-26,1,0,12,0,0,0,0,5,0,0,1,0,219,0,0,2,0,4,0,0,53,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0
2020-05-27,1,0,11,0,0,0,0,0,0,0,0,0,237,0,0,2,0,7,0,0,64,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,0,0,1,0,1
2020-05-28,0,0,13,0,1,0,0,0,0,0,0,0,289,0,1,0,0,5,0,0,76,0,0,0,0,1,2,0,0,1,1,0,3,0,0,1,0,4,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0
2020-05-29,0,1,9,0,1,3,0,2,1,0,0,0,287,0,2,2,0,6,0,1,84,0,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,3,0,2,0,0,0,2,1,0,0,1,1,0,2,0,0,0,0,0,8,0,0,0,0,0
2020-05-30,0,0,12,0,0,0,0,2,1,0,0,0,300,0,0,0,0,5,0,0,99,0,0,1,0,0,0,1,1,3,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,10,0,0,0,0,0
2020-05-31,0,1,6,0,0,2,0,1,0,0,0,0,262,0,0,0,0,5,0,0,67,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0
2020-06-01,2,0,4,0,0,1,0,3,3,0,0,1,253,0,0,0,0,15,0,0,70,0,1,0,0,0,0,0,0,0,0,3,8,0,1,1,0,4,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,5,0,1,0,0,0
2020-06-02,0,0,8,0,0,4,0,2,2,0,1,0,272,0,2,0,0,12,2,0,61,0,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,4,0,0,3,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,2,2,0,4,0,0
2020-06-03,1,0,14,0,0,1,0,2,0,0,0,1,266,0,1,0,0,24,0,0,76,0,0,0,2,3,0,0,0,1,0,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,0,2,0,2,0,0,0,0,0,5,0,0,2,0,2
2020-06-04,3,3,42,0,0,14,0,5,1,1,0,1,579,2,5,3,6,18,2,1,152,0,0,0,0,2,1,11,5,4,4,0,10,0,0,0,1,6,0,5,1,0,0,1,1,0,3,1,1,1,0,2,1,1,0,0,2,2,3,17,0,2,2,0,1
2020-06-05,9,1,150,0,1,24,0,16,7,2,2,2,1266,3,12,5,2,36,1,2,317,4,0,2,0,12,4,23,3,15,9,4,35,1,1,4,3,14,0,3,8,8,4,0,1,5,3,1,0,16,3,6,3,10,0,1,2,1,4,34,3,6,4,0,1
2020-06-06,5,0,74,0,1,3,1,7,2,0,2,3,885,0,8,18,0,46,0,3,235,2,1,6,1,6,1,12,4,12,2,6,24,1,6,0,3,13,0,2,6,2,7,1,2,0,4,1,0,4,1,10,1,9,2,2,1,0,5,25,1,2,8,1,2
2020-06-07,7,0,87,1,1,15,2,2,1,0,1,7,937,1,3,16,1,63,0,4,207,0,0,7,1,10,1,9,6,7,2,6,25,0,2,3,5,10,0,1,0,1,7,2,1,1,5,0,1,6,0,10,3,5,1,4,5,0,8,34,3,2,13,3,4
2020-06-08,9,0,47,0,2,16,0,5,1,0,8,7,747,1,4,9,3,33,3,3,174,1,0,5,0,4,2,15,2,9,4,2,38,1,0,0,2,6,0,0,4,4,11,1,0,2,1,1,3,6,1,9,2,6,2,0,1,0,15,25,2,1,4,0,3
2020-06-09,3,1,42,0,0,9,1,7,1,3,0,0,640,0,3,6,3,21,2,2,124,0,0,1,0,3,0,7,1,4,4,3,21,1,0,0,3,11,1,1,6,0,1,0,1,3,2,1,1,7,0,5,0,6,0,1,2,0,0,10,4,3,11,2,0
