date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Maulvibazar,Sylhet,Tangail,Chuadanga,Bagerhat,Feni,Magura,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Narail,Natore,Chandpur,Patuakhali,Rajbari,Jaipurhat,Gazipur,Jamalpur,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Shariatpur,Faridpur,Dinajpur,Satkhira,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Gaibandha,Bhola,Barisal,Jessore,Lalmonirhat,Panchagarh
2020-05-18,0,0,0,0,0,0,0,0,6,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,2,0,0,111,0,35,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2020-05-19,1,0,0,0,2,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,78,0,33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,4,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,3,0,0,99,0,29,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
2020-05-21,3,0,1,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,1,0,4,0,0,144,0,45,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-05-22,4,1,2,2,0,0,0,1,10,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,2,0,3,0,1,1,0,1,5,1,0,1,0,0,1,0,0,0,4,0,1,150,0,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-05-23,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,4,0,2,0,0,1,0,0,0,4,1,0,142,0,30,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-05-24,2,0,0,1,0,1,0,0,4,1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,146,0,46,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2020-05-25,1,0,0,0,0,0,0,0,17,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,2,0,1,145,0,51,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-26,2,0,0,0,0,0,1,0,11,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,1,0,1,5,0,0,4,1,0,2,0,0,0,0,1,0,5,0,0,219,0,55,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
2020-05-27,3,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,7,0,0,220,0,65,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
2020-05-28,3,2,0,2,1,0,0,0,15,0,0,0,1,0,0,4,2,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,0,0,294,0,68,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2020-05-29,1,0,0,2,1,2,1,0,9,0,0,2,0,1,0,1,0,0,1,2,0,3,0,0,0,0,2,0,0,2,0,0,3,0,0,2,0,0,3,0,0,0,5,1,0,276,0,87,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
2020-05-30,1,0,0,1,0,0,0,1,13,2,0,0,0,1,0,2,1,1,1,0,0,1,0,0,0,0,3,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,6,0,0,300,0,97,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,278,0,72,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
2020-06-01,7,0,1,1,0,0,0,0,5,1,0,0,1,0,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,13,0,0,257,0,67,0,0,0,1,0,0,0,0,0,2,0,1,3,0,0,0,0
2020-06-02,5,0,0,0,0,1,0,0,8,4,1,0,0,0,0,4,2,0,0,2,0,3,0,0,0,0,0,2,1,4,4,0,2,0,0,0,0,0,4,0,0,0,13,0,0,274,1,63,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0
2020-06-03,1,0,1,3,0,0,1,0,12,0,0,0,1,0,0,1,2,0,0,1,0,1,0,0,1,0,0,0,0,2,1,0,5,0,0,0,0,0,1,2,0,2,25,0,0,253,0,74,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0
2020-06-04,11,1,1,1,0,3,1,0,23,1,0,0,4,7,1,3,1,0,0,4,0,0,0,0,1,2,5,0,0,5,2,0,12,3,0,3,1,0,14,1,0,0,17,1,0,486,0,118,3,2,1,0,3,0,3,2,0,2,5,1,0,1,0,1,0
2020-06-05,32,4,2,9,1,3,1,1,154,7,2,4,4,26,7,17,14,0,3,12,0,9,0,1,0,1,15,3,2,8,4,0,32,4,1,5,2,4,19,1,1,0,33,1,8,1248,5,317,5,1,3,4,1,0,9,12,2,10,3,3,4,4,3,2,0
2020-06-06,26,1,3,10,1,4,1,1,83,2,2,7,1,13,2,11,5,1,1,8,0,6,0,2,0,2,12,0,2,14,9,1,25,5,1,14,0,2,8,2,6,1,46,4,2,939,0,249,4,2,2,0,0,2,3,7,6,4,0,1,6,13,1,0,1
2020-06-07,26,0,7,5,1,5,0,2,85,1,1,6,2,5,2,9,7,0,0,3,1,0,0,1,1,1,6,0,1,3,10,0,37,7,0,19,0,0,14,4,2,1,62,4,1,912,1,216,6,4,5,2,0,1,2,10,7,7,1,3,5,6,3,0,2
2020-06-08,38,2,7,6,2,1,1,1,53,1,0,11,0,19,1,9,6,0,1,4,0,4,0,3,2,1,9,3,5,3,7,3,27,15,1,8,0,1,10,3,0,0,36,3,3,785,1,174,2,2,2,1,0,0,3,3,5,10,3,2,3,11,2,0,0
