date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Magura,Tangail,Maulvibazar,Chuadanga,Bagerhat,Feni,Sylhet,Munshiganj,Chapainawabganj,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Rajbari,Jaipurhat,Gazipur,Patuakhali,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-05-13,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,51,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,58,0,14,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,43,2,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2020-05-16,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,66,0,19,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2020-05-17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,46,0,12,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,62,0,13,1,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1
2020-05-19,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,44,0,12,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,83,0,28,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-22,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,2,0,0,97,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2020-05-23,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,2,53,0,10,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0
2020-05-24,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,65,0,19,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-25,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,64,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,66,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,2,0,0,1,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,89,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,85,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,90,0,27,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-05-30,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,5,2,0,1,0,0,2,6,0,0,1,0,0,2,0,0,123,0,16,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,2,0,0,107,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,3,1,0,102,0,27,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
2020-06-02,3,0,0,0,0,0,0,0,3,0,1,1,0,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,116,0,26,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,116,0,23,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0
2020-06-04,6,0,0,0,4,0,0,0,12,2,2,4,3,1,2,0,0,0,1,2,3,2,1,0,1,0,0,0,1,2,1,0,3,1,0,1,1,0,2,0,1,1,3,0,1,216,0,68,3,4,1,0,0,0,1,0,0,5,1,1,0,1,0,2,0
2020-06-05,13,0,2,7,3,4,1,1,33,1,2,3,4,10,0,4,7,1,2,9,19,2,3,0,1,0,11,0,6,6,7,0,10,1,0,3,2,1,8,11,1,0,12,1,2,585,2,151,5,1,5,5,0,4,7,8,1,9,2,6,1,4,1,1,0
2020-06-06,7,1,5,2,1,1,2,0,28,1,1,3,0,7,0,1,7,1,0,4,8,3,0,1,3,1,0,0,1,3,8,0,9,0,1,1,0,3,4,4,3,1,16,1,0,501,1,120,5,0,4,2,0,1,2,3,2,4,0,4,0,2,2,0,0
