date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Jhenaidah,Sirajganj,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Chapainawabganj,Sylhet,Munshiganj,Feni,Tangail,Bagerhat,Chuadanga,Magura,Maulvibazar,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Noakhali,Natore,Patuakhali,Chandpur,Jamalpur,Narail,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Barguna,Brahmanbaria,Gaibandha,Bhola,Jessore,Barisal,Lalmonirhat,Panchagarh
2020-05-15,2,0,0,1,0,0,0,0,5,0,1,0,3,2,0,0,2,2,0,0,2,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,4,0,0,134,2,29,0,0,0,0,0,0,0,1,0,0,2,1,0,2,1,0,0
2020-05-16,0,0,0,0,0,0,0,0,13,0,2,3,3,1,0,3,0,1,2,5,1,0,5,0,0,1,2,0,0,1,0,0,3,0,0,1,0,0,2,2,2,1,2,0,2,166,0,31,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0
2020-05-17,0,0,0,1,0,0,2,0,4,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,1,0,0,4,0,1,109,0,37,0,0,0,0,0,0,1,3,0,0,0,3,0,3,0,0,0
2020-05-18,0,0,1,0,0,0,0,0,4,2,1,0,1,1,0,4,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,4,2,0,0,0,0,0,142,1,34,1,0,2,1,0,0,0,1,1,0,1,0,0,2,0,0,0
2020-05-19,0,0,1,0,4,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,4,0,0,92,0,23,0,0,2,0,0,0,3,0,0,0,0,2,0,0,1,0,0
2020-05-20,3,0,0,0,0,0,1,0,7,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,2,0,0,122,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2020-05-21,2,0,0,1,0,0,0,0,7,0,1,0,0,0,0,1,2,1,2,1,0,0,0,0,1,0,1,0,3,0,1,0,5,0,0,0,2,0,4,2,0,1,10,1,1,244,0,59,4,0,1,1,0,0,1,2,0,0,1,0,0,0,2,0,1
2020-05-22,1,0,1,1,0,1,0,0,7,0,0,1,2,0,0,0,0,1,5,0,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,3,0,1,1,0,1,0,9,0,0,188,0,45,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
2020-05-23,3,1,0,0,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,1,1,0,0,0,0,1,8,0,0,144,0,26,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0
2020-05-24,2,0,0,0,1,1,1,1,6,1,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,1,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,141,0,34,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,2,1,0,0,0,0,0,0,3,0,0,0,0,2,0,2,2,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,4,1,0,0,0,0,0,1,0,0,3,0,1,112,0,24,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
2020-05-26,2,0,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,4,0,0,1,0,0,0,0,0,0,2,0,0,140,0,43,0,0,1,0,1,0,0,1,1,1,2,0,0,3,0,0,0
2020-05-27,2,2,0,1,0,0,0,0,7,2,0,2,1,0,0,1,2,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,2,0,0,1,0,0,1,0,0,0,3,0,0,173,0,38,1,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0
2020-05-28,1,1,0,1,1,0,0,0,10,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,3,0,0,162,0,33,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,5,0,0,1,0,2,0,0,3,0,0,8,0,1,2,2,1,4,0,1,1,0,0,0,0,0,0,0,1,3,0,0,3,0,0,1,0,0,1,0,0,0,4,0,0,182,0,48,0,0,0,5,0,0,2,0,0,0,2,1,1,0,0,0,0
2020-05-30,3,0,0,0,0,0,0,0,5,1,0,0,0,0,1,2,0,3,2,0,0,1,0,0,1,0,0,1,0,0,2,0,2,1,0,1,1,0,0,1,6,0,6,0,0,220,0,54,2,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0
2020-05-31,1,1,2,0,0,0,1,0,6,0,0,1,0,0,0,4,0,0,1,0,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,5,0,2,1,0,0,2,0,0,206,0,45,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-06-01,1,0,1,1,0,0,0,0,6,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,0,1,1,0,0,4,0,0,228,0,50,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0
2020-06-02,1,2,0,0,0,2,1,0,15,0,1,1,0,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,2,2,0,0,5,0,0,235,0,50,1,1,1,1,0,0,0,2,2,0,0,1,0,3,0,0,0
2020-06-03,1,0,0,1,0,1,0,0,10,0,0,1,0,0,0,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,4,1,1,0,0,3,1,0,0,1,7,1,0,222,1,35,0,1,0,0,0,0,1,2,0,0,1,1,0,1,1,0,1
2020-06-04,15,2,0,0,2,2,4,0,29,1,2,5,8,5,2,10,1,3,0,2,0,0,3,2,0,0,6,1,1,9,5,0,13,4,0,4,6,0,5,1,1,1,12,2,2,505,0,144,5,3,2,1,0,0,3,3,1,2,7,3,1,4,2,1,1
2020-06-05,48,6,6,9,5,2,6,4,123,3,4,8,15,19,4,41,14,24,17,7,5,0,9,8,7,0,18,2,6,21,17,0,24,6,4,26,6,5,20,9,3,1,55,2,6,1617,4,378,3,8,9,9,3,1,11,19,12,6,12,7,4,8,13,1,1
2020-06-06,40,4,6,11,4,6,4,2,102,3,3,10,5,16,1,12,8,20,12,12,1,2,13,1,2,3,12,5,3,17,15,1,29,8,0,21,8,1,13,3,0,1,29,5,2,1237,4,265,15,3,9,4,1,1,7,16,6,3,14,0,2,5,5,0,2
