date,Comilla,Sunamganj,Manikganj,Kishoreganj,Kushtia,Sirajganj,Jhenaidah,Rangamati,Chittagong,Nilphamari,Thakurgaon,Pabna,Rajshahi,Cox's Bazar,Sylhet,Tangail,Munshiganj,Chapainawabganj,Bagerhat,Feni,Maulvibazar,Chuadanga,Magura,Kurigram,Netrokona,Meherpur,Narsingdi,Pirojpur,Gopalganj,Mymensingh,Khulna,Jhalokati,Narayanganj,Lakshmipur,Khagrachhari,Jamalpur,Narail,Natore,Chandpur,Noakhali,Patuakhali,Jaipurhat,Gazipur,Rajbari,Sherpur,Unknown,Habiganj,Dhaka,Naogaon,Satkhira,Faridpur,Dinajpur,Shariatpur,Bandarban,Rangpur,Bogra,Madaripur,Brahmanbaria,Barguna,Barisal,Gaibandha,Jessore,Bhola,Lalmonirhat,Panchagarh
2020-05-22,1,0,1,1,0,0,0,0,8,0,0,1,1,1,0,1,0,0,0,2,0,0,0,3,0,0,1,0,1,2,0,0,5,0,0,1,0,0,1,0,0,0,2,0,0,169,0,41,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,0,0
2020-05-23,0,1,0,0,2,0,0,0,1,0,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,134,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-24,1,1,0,0,0,0,1,0,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,138,0,43,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
2020-05-25,4,0,0,0,0,0,1,1,7,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,2,0,0,0,1,0,0,3,0,0,133,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,2,0,0,0,1,3,0,0,2,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,140,0,69,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-05-27,1,0,0,0,0,2,0,0,9,1,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,1,0,0,7,0,0,201,0,45,0,0,0,1,0,0,0,0,0,1,1,3,0,0,0,0,0
2020-05-28,4,0,0,2,0,0,0,0,8,0,0,0,3,1,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0,2,0,0,180,0,58,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
2020-05-29,2,0,0,0,0,0,1,0,6,0,0,2,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,4,0,0,216,1,61,0,1,3,0,0,0,1,2,0,1,0,0,0,0,0,0,0
2020-05-30,0,0,1,0,0,0,0,0,8,0,1,1,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,4,0,0,251,0,66,1,0,1,0,3,0,0,0,0,2,0,0,0,0,1,0,0
2020-05-31,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,5,0,0,219,0,56,2,0,0,3,0,0,0,2,0,0,0,0,0,1,0,0,2
